date,d_yield_1y,d_yield_10y,fx_log_return,hs300_log_return,d_shibor_1w
2015-01-06,-0.04830000000000023,-0.030199999999999783,0.00013060798033337484,-0.0001323703075009064,-0.484
2015-01-07,-0.057299999999999685,0.019400000000000084,0.0002122015923080589,0.0007497753564802423,-0.36799999999999944
2015-01-08,-0.02210000000000001,0.007299999999999862,0.0005384634342111561,-0.023471971626831234,-0.1280000000000001
2015-01-09,0.020999999999999908,-0.02760000000000007,-9.788087904838427e-05,-0.0035282985532294475,-0.007000000000000117
2015-01-12,0.008999999999999897,-0.0040000000000000036,-0.001028328078278129,-0.009389756309296615,0.02400000000000002
2015-01-13,0.012799999999999923,-0.022399999999999753,-0.0006207730457132854,0.0001320504707926773,-0.03200000000000003
2015-01-14,0.045700000000000074,-0.022699999999999942,0.0001633986931737219,-0.003311358048954105,0.1070000000000002
2015-01-15,-0.05520000000000014,-0.0658000000000003,-0.00019608163594897476,0.028622898298948485,0.005999999999999783
2015-01-16,0.024700000000000166,-0.015899999999999803,-8.171203050766351e-05,0.008571362251402093,0.004999999999999893
2015-01-19,-0.0371999999999999,-0.027099999999999902,0.0006861736288441556,-0.08015130618237798,-0.016999999999999904
2015-01-20,0.026499999999999968,-0.01880000000000015,-6.532958779348341e-05,0.012165668278834474,-0.04899999999999993
2015-01-21,-0.01639999999999997,0.011099999999999888,0.0006857479002380096,0.04396983230816964,0.040999999999999925
2015-01-22,-0.02499999999999991,-0.017599999999999838,-0.0003428151688471548,0.0052632750641308235,0.052000000000000046
2015-01-23,-0.0034000000000000696,-0.009199999999999875,0.001549894672722596,0.0011538874944481137,0.15299999999999958
2015-01-26,-0.012100000000000222,-0.007400000000000073,0.000684451569181066,0.010098812559805381,-0.10799999999999965
2015-01-27,-0.0389999999999997,-0.008100000000000218,-0.0003258708928370879,-0.009203569503387854,-0.029999999999999805
2015-01-28,-0.02430000000000021,0.014800000000000146,-0.0013371820070509077,-0.013973811988385876,0.008000000000000007
2015-01-29,0.007400000000000073,0.005799999999999805,0.0008644805092392627,-0.012423236245240332,0.030999999999999694
2015-01-30,0.011099999999999888,0.02400000000000002,0.0005704739162901706,-0.013709500819556908,0.09699999999999998
2015-02-02,-0.007299999999999862,-0.0024999999999999467,0.00024438923179759264,-0.02369758893576268,0.23099999999999987
2015-02-03,-0.005800000000000249,-0.027499999999999858,-0.00026068397104150876,0.024586725593225722,0.1363000000000003
2015-02-04,-0.011199999999999655,-0.02870000000000017,-0.000831383976094946,-0.010433166395722893,0.03369999999999962
2015-02-05,-0.01240000000000041,-0.03379999999999983,0.0007824981651920471,-0.010289194434676574,-0.01499999999999968
2015-02-06,-0.005499999999999616,0.05249999999999977,-0.0017125107139712714,-0.016327061956983968,-0.052999999999999936
2015-02-09,0.02499999999999991,-0.0038000000000000256,0.0008158470576213883,0.01006295192766693,-0.02400000000000002
2015-02-10,-0.019299999999999873,-0.008699999999999708,-0.0002609986475510251,0.01807341627267789,-0.014000000000000234
2015-02-11,0.014399999999999746,-0.009100000000000108,0.00032623766703165913,0.007946463039003149,0.0990000000000002
2015-02-12,0.0015999999999998238,-0.02950000000000008,0.00029352292950912684,0.002544716378215739,0.18200000000000038
2015-02-13,0.008500000000000174,-0.006399999999999739,-0.0007339689289789231,0.007798437312034778,0.06099999999999994
2015-02-16,0.020199999999999996,-0.029300000000000104,-0.0002447760719135328,0.00851021829192078,0.03699999999999992
2015-02-17,-0.006600000000000161,-0.04220000000000024,0.0009298304952862768,0.0065051879226682985,0.04899999999999949
2015-02-25,-0.039699999999999847,0.00140000000000029,0.0008800952374716786,-0.012453434032845934,0.019000000000000128
2015-02-26,-0.028000000000000025,0.005900000000000016,-8.145776826484763e-05,0.024860244573845947,-0.051000000000000156
2015-02-27,0.007000000000000117,0.027499999999999858,0.001562830995157194,0.001834395647252407,-0.0019999999999997797
2015-03-02,0.014800000000000146,0.0047999999999999154,0.0006179464859854544,0.007923535218591127,0.03300000000000036
2015-03-03,-0.010800000000000143,0.058499999999999996,0.000487582898751171,-0.02626760479609125,-0.001000000000000334
2015-03-04,0.019200000000000106,0.008799999999999919,-0.00029252120987366403,0.006513137194803065,-0.03000000000000025
2015-03-05,0.021199999999999886,0.02560000000000029,4.8759477633275594e-05,-0.009812853905206254,0.012000000000000455
2015-03-06,0.015499999999999847,0.044399999999999995,8.126051312351557e-05,-0.0051109351520981505,0.009999999999999787
2015-03-09,-0.025700000000000056,0.01639999999999997,0.0004874244588608523,0.01688401588059918,0.03399999999999981
2015-03-10,0.0730000000000004,-0.006899999999999906,0.0001461810210909853,-0.004856377758068575,-0.009999999999999787
2015-03-11,-0.0347000000000004,-0.03770000000000007,0.00040594630699786194,0.0011474376101379136,0.009999999999999787
2015-03-12,-0.024099999999999788,-0.02289999999999992,0.00032463843679542137,0.019162097729640948,-0.021899999999999586
2015-03-13,0.03270000000000017,0.04569999999999963,-0.0004707601239488657,0.006882489287907134,-0.013099999999999667
2015-03-16,0.013199999999999878,0.026200000000000223,0.00043830102241426694,0.02403777024295195,-0.03000000000000025
2015-03-17,0.00749999999999984,0.0400999999999998,-0.0004870129966392245,0.013788889819284833,-0.08800000000000008
2015-03-18,-0.016000000000000014,-0.03729999999999967,-0.00047100479184236654,0.02339470885416084,-0.017999999999999794
2015-03-19,0.00990000000000002,0.028200000000000003,-0.0015607728992665937,-0.0016435520967021944,-0.10599999999999987
2015-03-20,0.018400000000000194,-0.0354000000000001,0.0005855753444923284,0.01366623992408833,-0.16500000000000004
2015-03-23,-0.0009000000000001229,-0.0030000000000001137,-0.0007808433504501444,0.020214468103773697,-0.1880000000000006
2015-03-24,-0.024900000000000144,-0.004100000000000215,-0.0008140273637073925,0.0002479513504471953,-0.10999999999999943
2015-03-25,0.03210000000000024,0.007200000000000095,0.00019542700863439677,-0.008247768547111178,-0.07800000000000029
2015-03-26,-0.010099999999999998,0.03210000000000024,-0.0005701022266229039,0.0024300393775877893,-0.058000000000000274
2015-03-27,0.018799999999999706,0.03469999999999995,0.0003583879098729703,0.0054781335367977135,-0.0040000000000000036
2015-03-30,0.03290000000000015,0.022800000000000153,8.143388794312756e-05,0.028905934742599726,0.026000000000000245
2015-03-31,0.04380000000000006,0.045299999999999674,0.000325669253187888,-0.009085273138891736,-0.03299999999999992
2015-04-01,-0.05480000000000018,-0.00039999999999995595,0.00019535065504583393,0.01778398422388605,-0.13200000000000012
2015-04-02,-0.038899999999999935,-0.07799999999999985,-0.0006187413695730726,0.00021361016904464236,-0.11900000000000022
2015-04-03,-0.023699999999999832,-0.00790000000000024,-0.0007821156626282022,0.01103332899345233,-0.129
2015-04-07,0.01849999999999996,0.01130000000000031,-0.0007011651041830547,0.021234444591106794,-0.18699999999999983
2015-04-08,0.013599999999999834,0.07879999999999976,0.000652262558795691,0.008359010677878587,-0.15600000000000014
2015-04-09,-0.0484,0.06450000000000022,-0.00011411524021398556,-0.007867587227373463,-0.08999999999999986
2015-04-10,0.03639999999999999,-0.02190000000000003,0.0005215633980735213,0.019120430002146804,-0.10299999999999976
2015-04-13,-0.05410000000000004,0.005300000000000082,0.0004072822114706831,0.017491084490028896,-0.02100000000000035
2015-04-14,0.012900000000000134,-0.03670000000000018,0.00019543655702980445,0.0038628569590066775,-0.028999999999999915
2015-04-15,-0.009100000000000108,-0.03330000000000011,-0.0010916764834005832,-0.013079442950495235,-0.040000000000000036
2015-04-16,-0.04029999999999978,-0.040899999999999714,-0.000570753001755131,0.02991725653378907,0.0040000000000000036
2015-04-17,0.05030000000000001,-0.006600000000000161,-0.0006200437492647204,0.01813285314593749,-0.010999999999999677
2015-04-20,-0.008100000000000218,-0.07609999999999983,-0.00019588318895169543,-0.016279489230136335,-0.14100000000000001
2015-04-21,-0.060499999999999776,-0.09010000000000007,0.00040804668620197937,0.021277275071618362,-0.1120000000000001
2015-04-22,-0.036799999999999944,0.005399999999999849,0.00016317206530436223,0.02578415809188961,-0.052999999999999936
2015-04-23,-0.03840000000000021,0.017199999999999882,-0.00014685366059152827,0.00022740922556607757,-0.040000000000000036
2015-04-24,-0.02289999999999992,0.020199999999999996,-0.0006529439842821727,-0.00810103786172256,-0.039000000000000146
2015-04-27,-0.04809999999999981,-0.03349999999999964,-0.0003429663355001278,0.02207206926859051,-0.03699999999999992
2015-04-28,-0.05420000000000025,-0.020600000000000396,-0.00017969598754552507,-0.013766660375928552,-0.0129999999999999
2015-04-29,-0.0343,0.011200000000000099,-0.0006537122918248706,0.0068231374501426245,0.0009999999999998899
2015-04-30,-0.057599999999999874,-0.03059999999999974,-0.0005232776925119254,-0.005132194378830945,-0.008999999999999897
2015-05-04,-0.036599999999999966,0.010099999999999998,0.00045788295349558084,0.007938074906819637,-0.040000000000000036
2015-05-05,0.0129999999999999,0.01709999999999967,0.00024520822387774643,-0.0406902343772515,-0.02200000000000024
2015-05-06,0.04170000000000007,0.01570000000000027,-0.0003923620243901915,-0.0095102837369474,0.001000000000000334
2015-05-07,-0.05339999999999989,0.047499999999999876,-0.0007033671948371012,-0.018449855609357968,-0.014000000000000234
